學校名稱,緯度,經度,校地面積總計,學生人數,人口密度 (人/頃),平均每人分封(m^2),註
國立政治大學,24.9879,121.5774,1093284,16351,150,67,
國立清華大學,24.7961,120.9967,1222740,16917,138,72,
國立臺灣大學,25.0173,121.5398,1368289,32974,241,41,
國立臺灣師範大學,25.0262,121.5275,543693,15920,293,34,
國立成功大學,22.9989,120.2169,1855748,21773,117,85,
國立中興大學,24.1236,120.6753,531525,15219,286,35,
國立陽明交通大學,22.9248,120.2949,1378553,19716,143,70,
國立中央大學,24.9678,121.195,639061,11467,179,56,
國立中山大學,22.6283,120.2647,734097,9706,132,76,
國立臺灣海洋大學,25.1505,121.7758,390964,8905,228,44,
國立中正大學,23.5634,120.4729,1307289,11128,85,117,
國立高雄師範大學,22.6256,120.3198,646564,6845,106,94,
國立彰化師範大學,24.0827,120.5584,516542,8453,164,61,
國立臺北大學,24.9438,121.3708,591148,10080,171,59,
國立嘉義大學,23.4638,120.4834,1684897,11689,69,144,
國立高雄大學,22.7334,120.2846,825197,5709,69,145,
國立東華大學,23.8975,121.5418,2469583,9459,38,261,
國立暨南國際大學,23.9495,120.9377,1484596,6016,41,247,
國立臺灣科技大學,25.0137,121.5405,346322,11171,323,31,
國立雲林科技大學,23.696,120.5341,581137,9808,169,59,
國立屏東科技大學,22.6411,120.5961,2890861,10818,37,267,
國立臺北科技大學,25.0428,121.5378,1939233,13837,71,140,
國立臺北藝術大學,25.1325,121.4697,370501,3144,85,118,
國立臺灣藝術大學,25.006,121.4488,118054,5545,470,21,
國立臺東大學,22.7365,121.0678,712957,4939,69,144,
國立宜蘭大學,24.7462,121.7477,524247,5476,104,96,
國立聯合大學,24.5458,120.8124,769619,7559,98,102,
國立虎尾科技大學,23.7026,120.4295,372754,10990,295,34,
國立臺南藝術大學,23.186,120.3743,575457,1599,28,360,
國立臺南大學,22.9841,120.2078,117902,5773,490,20,
國立臺北教育大學,25.0244,121.5464,78037,5885,754,13,
國立臺中教育大學,24.1426,120.6721,100497,4902,488,21,
國立澎湖科技大學,23.5746,119.581,459622,3047,66,151,
國立勤益科技大學,24.1462,120.7325,327477,12134,371,27,
國立體育大學,25.036,121.385,642436,2586,40,248,
國立臺北護理健康大學,25.1179,121.5198,82828,5338,644,16,
國立高雄餐旅大學,22.5633,120.3724,150044,4929,329,30,
國立金門大學,24.4481,118.3225,202169,4131,204,49,
國立臺灣體育運動大學,24.1487,120.6877,142740,3122,219,46,
國立臺中科技大學,24.1497,120.6838,146861,16091,1096,9,
國立臺北商業大學,25.0419,121.5256,97180,7632,785,13,
國立屏東大學,22.6659,120.5048,513336,9027,176,57,
國立高雄科技大學,22.7557,120.3321,2161680,27438,127,79,
國立臺灣戲曲學院,25.0819,121.5865,51930,546,105,95,
國立臺南護理專科學校,22.9957,120.2076,30000,1917,639,16,
